"","gender_dummy","Youth_dummy","Arrival_dummy","Foreign_born_or_Not_dummy","Registered_or_not_dummy","Likely_vote","Often_discuss_poltics","Interested_In_Politics","Discussed_politics_with_famandfriend","year_born","Year_In_US","Ethnicity","Citizen_or_not","Registered_or_not","Foreign_born_or_Not","YOUTH","english_ablitity_speak","english_ablitity_reading","Gender","Background_Asian"
"680",1,0,0,1,1,"My chances of voting are 50-50","Somewhat often","Not at all Interested","(2) No",1937,1987,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"681",0,0,0,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1950,1997,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(4) Very well","(4) Very well","Female","Filipino"
"682",1,0,0,1,0,"I will not vote this year","Not too often","Somewhat Interested","(1) Yes",1973,1992,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH","(3) Pretty well","(4) Very well","Male","Filipino"
"683",1,0,NA,0,0,"I will not vote this year","Not at all","Not at all Interested","(1) Yes",1942,NA,"(14) filipino","(1) Citizen","Not Registered","Native Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"684",1,1,NA,0,1,"I am absolutely certain I will vote","Not at all","Very Interested","(1) Yes",1982,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Filipino"
"685",1,1,NA,0,0,"I am pretty likely to vote","Not too often","Very Interested","(2) No",1996,NA,"(11) asnindian","(1) Citizen","Not Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Indian"
"686",0,0,1,1,1,"I am absolutely certain I will vote","Not too often","Interested","(2) No",1940,1971,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(4) Very well","(4) Very well","Female","Filipino"
"687",1,1,NA,0,1,"I am pretty likely to vote","Somewhat often","Interested","(1) Yes",1991,NA,"(02) NHPI","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Tongan"
"688",0,1,0,1,1,"I am absolutely certain I will vote","Somewhat often","Somewhat Interested","(1) Yes",1981,1988,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(1) youth",NA,NA,"Female","Filipino"
"689",1,0,1,1,1,"My chances of voting are 50-50","Not at all","Very Interested","(2) No",1953,1975,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"690",1,0,1,1,1,"I am absolutely certain I will vote","Not too often","Very Interested","(1) Yes",1956,1965,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"691",0,0,NA,0,1,"I am absolutely certain I will vote","Somewhat often","Not at all Interested","(1) Yes",1981,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Filipino"
"692",1,0,NA,0,1,"I am pretty likely to vote","Not too often","Somewhat Interested","(1) Yes",1997,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"693",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Not at all Interested","(1) Yes",1962,1975,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"694",1,0,0,1,1,"I am absolutely certain I will vote","Not too often","Very Interested","(1) Yes",1947,1988,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"695",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Very Interested","(1) Yes",1973,1977,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"696",0,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1958,1983,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Filipino"
"697",1,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Very Interested","(1) Yes",1953,1975,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"698",1,0,0,1,1,"My chances of voting are 50-50","Not too often","Somewhat Interested","(1) Yes",1967,2002,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"699",1,0,0,1,1,"I am absolutely certain I will vote","Not too often","Very Interested","(2) No",1956,1996,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"700",1,0,1,1,1,"I am absolutely certain I will vote","Not too often","Somewhat Interested","(2) No",1938,1975,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"701",0,0,0,1,1,"I am absolutely certain I will vote","Not too often","Very Interested","(2) No",1957,1995,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Filipino"
"702",0,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Very Interested","(1) Yes",1952,1975,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Filipino"
"703",1,1,NA,0,1,"I am pretty likely to vote","Not too often","Not at all Interested","(1) Yes",1996,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Filipino"
"704",0,1,0,1,1,"I am absolutely certain I will vote","Not too often","Somewhat Interested","(1) Yes",1994,1998,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(1) youth",NA,NA,"Female","Filipino"
"705",1,0,0,1,1,"I am absolutely certain I will vote","Not too often","Interested","(1) Yes",1950,2002,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"706",0,1,0,1,1,"I am absolutely certain I will vote","Not at all","Interested","(1) Yes",1982,1992,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(1) youth",NA,NA,"Female","Filipino"
"707",0,0,0,1,0,"I will not vote this year","Somewhat often","Somewhat Interested","(2) No",1965,1988,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Filipino"
"708",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Interested","(1) Yes",1938,1972,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"709",0,0,0,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1947,2003,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(3) Pretty well","Female","Filipino"
"710",0,0,0,1,1,"I am pretty likely to vote","Very often","Very Interested","(2) No",1952,1994,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Filipino"
"711",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Interested","(2) No",1938,1981,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"712",1,0,0,1,1,"I am pretty likely to vote","Not too often","Interested","(2) No",1979,1997,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(4) Very well","(4) Very well","Male","Filipino"
"713",1,1,NA,0,1,"I am absolutely certain I will vote","Very often","Very Interested","(1) Yes",1983,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Filipino"
"714",0,0,1,1,1,NA,"Not at all",NA,"(2) No",1936,1964,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(4) Very well","(4) Very well","Female","Filipino"
"715",0,0,1,1,1,"I am absolutely certain I will vote","Not too often","Somewhat Interested","(2) No",1959,1985,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Filipino"
"716",1,1,NA,0,1,"I am absolutely certain I will vote","Not too often","Very Interested","(1) Yes",1991,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Filipino"
"717",0,1,0,1,1,"My chances of voting are 50-50","Not too often","Somewhat Interested","(1) Yes",1993,2008,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(1) youth",NA,NA,"Female","Filipino"
"718",1,0,0,1,0,"I will not vote this year",NA,"Very Interested","(1) Yes",1972,1996,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Filipino"
"719",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Not at all Interested","(2) No",1966,1985,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(3) Pretty well","(3) Pretty well","Male","Filipino"
"720",1,1,0,1,1,"I am absolutely certain I will vote","Not too often","Very Interested","(1) Yes",1990,1995,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(1) youth",NA,NA,"Male","Filipino"
"721",1,1,NA,0,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1986,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Filipino"
"722",1,1,NA,0,1,"I am absolutely certain I will vote","Not too often","Interested","(1) Yes",1989,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Filipino"
"723",0,1,NA,0,1,"I am absolutely certain I will vote","Somewhat often","Interested","(1) Yes",1983,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Female","Filipino"
"724",0,1,NA,0,1,"My chances of voting are less than 50-50","Not at all","Somewhat Interested","(1) Yes",1991,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Female","Filipino"
"725",0,1,NA,0,1,"I am absolutely certain I will vote","Not too often","Interested","(1) Yes",1992,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Female","Filipino"
"726",1,1,0,1,1,"I am absolutely certain I will vote","Somewhat often","Very Interested","(1) Yes",1982,2002,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen","(1) youth",NA,NA,"Male","Filipino"
"727",1,1,NA,0,1,"I am pretty likely to vote","Somewhat often","Somewhat Interested","(2) No",1992,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Filipino"
"728",1,1,NA,0,1,"I am absolutely certain I will vote","Not too often","Very Interested","(1) Yes",1986,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Filipino"
"729",1,1,NA,0,1,"My chances of voting are 50-50","Not too often","Somewhat Interested","(1) Yes",1992,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Filipino"
"730",0,1,NA,0,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(1) Yes",1984,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Female","Filipino"
"731",0,1,NA,0,0,"I will not vote this year","Not too often","Not at all Interested","(2) No",1990,NA,"(14) filipino","(1) Citizen","Not Registered","Native Born Citizen","(1) youth",NA,NA,"Female","Filipino"
"732",1,1,NA,0,1,"I am absolutely certain I will vote","Not too often","Interested","(1) Yes",1987,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Filipino"
"733",0,1,NA,0,1,"I am absolutely certain I will vote","Somewhat often","Very Interested","(1) Yes",1987,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Female","Filipino"
"734",1,1,NA,0,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(1) Yes",1989,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Filipino"
"735",0,1,NA,0,1,"I am absolutely certain I will vote","Very often","Not at all Interested","(1) Yes",1984,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Female","Filipino"
"736",0,1,NA,0,1,"I am absolutely certain I will vote","Somewhat often","Interested","(1) Yes",1990,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Female","Filipino"
"737",0,1,0,1,0,"I am absolutely certain I will vote","Somewhat often","Interested","(2) No",1988,2008,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(1) youth","(2) Just a little","(2) Just a little","Female","Hmong"
"738",0,0,NA,1,1,"My chances of voting are 50-50","Not too often","Very Interested","(2) No",1982,NA,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(3) Pretty well","Female","Hmong"
"739",0,0,1,1,1,NA,"Not at all","Very Interested",NA,1952,1978,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Hmong"
"740",1,0,1,1,1,"I am absolutely certain I will vote","Very often","Very Interested","(1) Yes",1941,1976,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(4) Very well","(2) Just a little","Male","Hmong"
"741",1,1,0,1,0,"My chances of voting are 50-50","Not at all","Not at all Interested","(2) No",1995,2007,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(1) youth",NA,NA,"Male","Hmong"
"742",1,0,0,1,1,"I will not vote this year","Somewhat often","Interested","(2) No",1965,1987,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Male","Hmong"
"743",0,0,1,1,1,"My chances of voting are 50-50","Somewhat often","Interested","(2) No",1943,1979,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Hmong"
"744",0,0,1,1,1,"I am pretty likely to vote","Somewhat often","Interested",NA,1957,1979,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Hmong"
"745",0,0,0,1,1,"I am pretty likely to vote",NA,"Very Interested","(2) No",1954,1986,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(1) Not at all","Female","Hmong"
"746",0,0,0,1,1,"I am pretty likely to vote","Not at all",NA,NA,1957,2004,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(1) Not at all","Female","Hmong"
"747",1,1,NA,0,1,"My chances of voting are less than 50-50","Not too often","Not at all Interested","(1) Yes",1994,NA,"(15) hmong","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Hmong"
"748",1,0,1,1,1,"I am absolutely certain I will vote","Very often","Very Interested","(1) Yes",1951,1976,"(13) chinese","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Chinese"
"749",0,0,0,1,0,NA,NA,"Somewhat Interested",NA,1958,1989,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"750",0,1,NA,0,0,"I am absolutely certain I will vote","Not too often","Interested","(1) Yes",1992,NA,"(15) hmong","(1) Citizen","Not Registered","Native Born Citizen","(1) youth",NA,NA,"Female","Hmong"
"751",0,0,1,1,0,"I will not vote this year","Not too often","Not at all Interested","(1) Yes",1972,1978,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"752",0,0,1,1,0,"I will not vote this year","Not at all",NA,NA,1950,1978,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"753",0,0,0,1,1,"I am absolutely certain I will vote","Not too often","Interested","(1) Yes",1955,1990,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Hmong"
"754",0,1,NA,0,1,"I am pretty likely to vote","Not too often","Not at all Interested","(1) Yes",1993,NA,"(15) hmong","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Female","Hmong"
"755",0,0,1,1,1,"I am absolutely certain I will vote","Not at all","Interested","(2) No",1957,1980,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"756",0,1,NA,0,1,"My chances of voting are 50-50","Not too often","Somewhat Interested","(1) Yes",1989,NA,"(15) hmong","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Female","Hmong"
"757",1,0,1,1,1,"I am absolutely certain I will vote","Not too often","Somewhat Interested","(1) Yes",1933,1964,"(13) chinese","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Chinese"
"758",0,0,0,1,0,"I will not vote this year","Not at all","Somewhat Interested","(2) No",1973,1988,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"759",0,0,1,1,1,"I am absolutely certain I will vote","Not too often","Very Interested","(1) Yes",1972,1975,"(13) chinese","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Chinese"
"760",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1951,1971,"(17) korean","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Korean"
"761",0,0,NA,0,1,"I am absolutely certain I will vote","Not at all","Not at all Interested","(2) No",1976,NA,"(15) hmong","(1) Citizen","Yes, Registered","Native Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"762",1,0,1,1,0,"I will not vote this year",NA,NA,NA,1945,1980,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Hmong"
"763",0,0,1,1,1,"I am absolutely certain I will vote","Very often","Very Interested","(2) No",1946,1980,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(1) Not at all","Female","Hmong"
"764",1,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Very Interested","(1) Yes",1973,1985,"(13) chinese","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Chinese"
"765",0,0,0,1,1,"I am pretty likely to vote","Not too often",NA,"(2) No",1953,2005,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(1) Not at all","Female","Hmong"
"766",1,0,0,1,0,"I am pretty likely to vote","Not at all","Interested","(2) No",1948,1987,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Hmong"
"767",1,0,1,1,0,"I am pretty likely to vote","Not at all","Not at all Interested","(2) No",1955,1982,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Hmong"
"768",0,0,0,1,0,"My chances of voting are 50-50","Not at all","Somewhat Interested","(2) No",1959,2004,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"769",0,0,0,1,0,"I am pretty likely to vote","Not at all","Somewhat Interested","(2) No",1966,1990,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(1) Not at all","Female","Hmong"
"770",0,0,1,1,0,"I will not vote this year","Not at all","Somewhat Interested","(2) No",1944,1976,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"771",1,0,1,1,1,"I am absolutely certain I will vote","Very often","Somewhat Interested","(1) Yes",1947,1976,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(3) Pretty well","(3) Pretty well","Male","Hmong"
"772",0,0,0,1,1,"I am pretty likely to vote","Not too often","Interested","(1) Yes",1958,1989,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"773",0,0,0,1,0,"I am absolutely certain I will vote","Somewhat often","Interested","(1) Yes",1966,1987,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"774",0,0,0,1,0,"My chances of voting are 50-50","Not at all","Somewhat Interested","(2) No",1953,2004,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"775",0,0,0,1,0,"My chances of voting are less than 50-50","Not at all","Not at all Interested","(2) No",1969,1989,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(1) Not at all","Female","Hmong"
"776",1,0,1,1,0,"My chances of voting are 50-50","Not at all","Not at all Interested","(2) No",1960,1980,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Hmong"
"777",1,1,0,1,1,"I will not vote this year","Not at all","Not at all Interested","(2) No",1987,1987,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(1) youth",NA,NA,"Male","Hmong"
"778",0,0,0,1,0,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1965,2005,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"779",0,0,1,1,0,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1940,1978,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"780",0,0,1,1,1,"My chances of voting are 50-50","Not too often","Not at all Interested","(2) No",1955,1980,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Hmong"
"781",0,0,0,1,1,"I am absolutely certain I will vote","Somewhat often","Very Interested","(1) Yes",1984,2005,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Hmong"
"782",0,0,0,1,0,"My chances of voting are 50-50","Not at all","Interested","(2) No",1954,1993,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(1) Not at all","Female","Hmong"
"783",0,0,1,1,1,"I am absolutely certain I will vote","Not at all","Not at all Interested","(2) No",1940,1984,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"784",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(1) Yes",1965,1979,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Hmong"
"785",1,0,0,1,1,"I am absolutely certain I will vote","Somewhat often","Very Interested","(1) Yes",1964,1993,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(3) Pretty well","(3) Pretty well","Male","Hmong"
"786",0,0,0,1,0,NA,"Not at all",NA,"(2) No",1958,2013,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"787",0,0,NA,1,1,"I am absolutely certain I will vote","Not at all","Very Interested","(2) No",1950,NA,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"788",0,1,NA,0,1,"I am absolutely certain I will vote","Not too often","Somewhat Interested","(1) Yes",1998,NA,"(15) hmong","(1) Citizen","Yes, Registered","Native Born Citizen","(1) youth",NA,NA,"Female","Hmong"
"789",1,1,0,1,0,"My chances of voting are less than 50-50","Somewhat often","Somewhat Interested","(1) Yes",1994,2005,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(1) youth","(3) Pretty well","(3) Pretty well","Male","Hmong"
"790",0,0,0,1,1,"I am absolutely certain I will vote","Not too often","Somewhat Interested","(1) Yes",1969,1990,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"791",0,1,0,1,1,"I am absolutely certain I will vote","Somewhat often","Not at all Interested","(2) No",1985,2005,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(1) youth",NA,NA,"Female","Hmong"
"792",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Interested","(2) No",1943,1980,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Hmong"
"793",0,0,1,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested",NA,1958,1979,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"794",0,0,1,1,0,"I will not vote this year","Not at all","Somewhat Interested","(2) No",1954,1980,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"795",1,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Interested","(1) Yes",1955,1979,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Hmong"
"796",1,0,0,1,1,"I am absolutely certain I will vote","Not at all","Interested","(2) No",1965,1992,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Hmong"
"797",1,0,0,1,0,NA,"Not at all","Not at all Interested","(1) Yes",1980,1995,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Hmong"
"798",0,0,1,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1950,1980,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"799",0,0,0,1,0,"My chances of voting are 50-50","Not at all","Somewhat Interested","(1) Yes",1970,1988,"(15) hmong","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"800",0,0,1,1,1,"I am absolutely certain I will vote","Not too often","Very Interested","(1) Yes",1944,1979,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
"801",0,1,0,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1987,2005,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(1) youth",NA,NA,"Female","Hmong"
"802",0,0,0,1,1,"I am absolutely certain I will vote","Not at all",NA,"(1) Yes",1951,1992,"(15) hmong","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Hmong"
