"","gender_dummy","Youth_dummy","Arrival_dummy","Foreign_born_or_Not_dummy","Registered_or_not_dummy","Likely_vote","Often_discuss_poltics","Interested_In_Politics","Discussed_politics_with_famandfriend","year_born","Year_In_US","Ethnicity","Citizen_or_not","Registered_or_not","Foreign_born_or_Not"
"589",0,0,1,0,0,"My chances of voting are 50-50","Not too often","(2) Somewhat interested","(1) Yes",1940,1960,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"590",1,0,1,0,0,"I am absolutely certain I will vote","Not too often","(4) Very interested","(1) Yes",1951,1978,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"591",1,0,1,0,0,"I am absolutely certain I will vote","Very often","(2) Somewhat interested","(1) Yes",1953,1972,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"592",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1959,1982,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"593",0,0,0,0,0,"I am absolutely certain I will vote","Somewhat often","(2) Somewhat interested","(1) Yes",1929,1986,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"594",0,0,0,0,0,"I will not vote this year","Not too often","(2) Somewhat interested","(1) Yes",1947,2008,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen"
"595",0,0,1,0,0,"I am absolutely certain I will vote","Very often","(3) Interested","(1) Yes",1924,1985,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"596",0,0,0,0,0,"I am absolutely certain I will vote","Very often","(3) Interested","(2) No",1933,1994,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"597",0,0,0,0,0,"I am absolutely certain I will vote","Somewhat often","(3) Interested","(1) Yes",1947,1994,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"598",1,1,NA,0,0,"My chances of voting are 50-50","Not too often","(2) Somewhat interested","(1) Yes",1984,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"599",0,0,0,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(1) Yes",1928,1990,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen"
"600",0,0,0,0,NA,NA,NA,"(1) Not at all interested",NA,1940,2001,"(14) filipino","(0) Not a citizen",NA,"Foreign Born Citizen"
"601",1,1,NA,0,0,"My chances of voting are 50-50","Not too often","(1) Not at all interested","(2) No",1993,NA,"(02) NHPI","(1) Citizen","Yes, Registered","Native Born Citizen"
"602",0,0,NA,0,0,"I am absolutely certain I will vote","Somewhat often","(2) Somewhat interested","(2) No",1932,NA,"(02) NHPI","(1) Citizen","Yes, Registered","Native Born Citizen"
"603",0,0,1,0,0,"I am absolutely certain I will vote","Not too often","(3) Interested","(1) Yes",1942,1970,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"604",0,0,0,0,0,"I am absolutely certain I will vote","Very often","(3) Interested","(2) No",1930,1988,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"605",0,0,0,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1942,2008,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"606",1,1,0,0,NA,NA,"Not too often","(3) Interested","(1) Yes",1982,2000,"(11) asnindian","(0) Not a citizen",NA,"Foreign Born Citizen"
"607",0,1,NA,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1994,NA,"(02) NHPI","(1) Citizen","Yes, Registered","Native Born Citizen"
"608",0,1,NA,0,0,"I am pretty likely to vote","Very often","(2) Somewhat interested","(1) Yes",1997,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"609",1,1,NA,0,0,"I am absolutely certain I will vote","Not too often","(3) Interested","(1) Yes",1991,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"610",0,0,0,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1964,2004,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"611",0,0,1,0,0,"My chances of voting are less than 50-50","Not too often","(2) Somewhat interested","(1) Yes",1962,1965,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"612",1,0,1,0,0,"I am absolutely certain I will vote","Very often","(2) Somewhat interested","(1) Yes",1952,1985,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"613",0,0,0,0,NA,NA,"Not at all","(1) Not at all interested","(2) No",1949,2013,"(14) filipino","(0) Not a citizen",NA,"Foreign Born Citizen"
"614",1,0,NA,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(1) Yes",1970,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"615",0,0,1,0,0,"My chances of voting are less than 50-50","Not too often","(3) Interested","(1) Yes",1966,1985,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen"
"616",0,0,1,0,0,"I am absolutely certain I will vote","Not too often","(3) Interested","(2) No",1945,1973,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"617",1,0,1,0,0,"I am absolutely certain I will vote","Very often","(3) Interested","(1) Yes",1961,1978,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"618",0,0,0,0,NA,NA,"Not at all","(1) Not at all interested",NA,1939,1994,"(14) filipino","(0) Not a citizen",NA,"Foreign Born Citizen"
"619",0,1,NA,0,0,"I am pretty likely to vote","Somewhat often","(1) Not at all interested","(1) Yes",1995,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"620",1,0,1,0,0,"My chances of voting are 50-50","Not at all","(2) Somewhat interested","(2) No",1953,1972,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"621",1,0,1,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1943,1969,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"622",1,0,1,0,0,"I am pretty likely to vote","Not too often","(1) Not at all interested","(1) Yes",1962,1970,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"623",0,0,1,0,0,"I will not vote this year","Not at all","(3) Interested","(2) No",1951,1981,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen"
"624",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(1) Yes",1950,1984,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"625",0,1,NA,0,0,"I am absolutely certain I will vote","Somewhat often","(2) Somewhat interested","(1) Yes",1984,NA,"(02) NHPI","(1) Citizen","Yes, Registered","Native Born Citizen"
"626",0,0,1,0,0,"My chances of voting are 50-50","Somewhat often","(4) Very interested","(1) Yes",1980,1985,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"627",0,0,1,0,0,"I am absolutely certain I will vote","Very often","(1) Not at all interested","(1) Yes",1937,1978,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"628",1,0,1,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(1) Yes",1939,1973,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"629",0,1,NA,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1993,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"630",1,0,NA,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(1) Yes",1953,NA,"(16) japanese","(1) Citizen","Yes, Registered","Native Born Citizen"
"631",0,0,NA,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1974,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"632",1,0,NA,0,0,"I will not vote this year","Not too often","(1) Not at all interested","(2) No",1947,NA,"(14) filipino","(1) Citizen","Not Registered","Native Born Citizen"
"633",0,0,1,0,NA,NA,"Not too often","(1) Not at all interested","(2) No",1948,1979,"(14) filipino","(0) Not a citizen",NA,"Foreign Born Citizen"
"634",1,0,1,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(1) Yes",1949,1976,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"635",0,0,NA,0,0,"I am pretty likely to vote","Not too often","(3) Interested","(2) No",1946,NA,"(02) NHPI","(1) Citizen","Yes, Registered","Native Born Citizen"
"636",1,0,1,0,NA,NA,"Not at all","(1) Not at all interested","(2) No",1956,1982,"(14) filipino","(0) Not a citizen",NA,"Foreign Born Citizen"
"637",0,0,0,0,0,"I am absolutely certain I will vote","Not too often","(4) Very interested","(1) Yes",1956,1989,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"638",0,0,0,0,0,"My chances of voting are less than 50-50","Not at all","(2) Somewhat interested","(2) No",1975,2010,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen"
"639",0,0,1,0,0,"I am pretty likely to vote","Not at all","(2) Somewhat interested","(2) No",1955,1980,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"640",1,0,NA,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(1) Yes",1962,NA,"(02) NHPI","(1) Citizen","Yes, Registered","Native Born Citizen"
"641",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1956,1972,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"642",0,0,0,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(1) Yes",1954,1987,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"643",1,0,NA,0,0,"I am pretty likely to vote",NA,"(3) Interested","(2) No",1964,NA,"(02) NHPI","(1) Citizen","Not Registered","Native Born Citizen"
"644",1,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(1) Yes",1944,1965,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"645",0,1,0,0,0,"My chances of voting are 50-50","Not too often","(3) Interested","(1) Yes",1988,2000,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"646",0,0,0,0,NA,NA,NA,"(2) Somewhat interested","(2) No",1941,1996,"(14) filipino","(0) Not a citizen",NA,"Foreign Born Citizen"
"647",1,0,0,0,0,"I am absolutely certain I will vote","Not too often","(3) Interested","(2) No",1950,1998,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"648",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(3) Interested","(2) No",1976,1976,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"649",0,0,1,0,0,"I will not vote this year","Somewhat often","(2) Somewhat interested","(1) Yes",1934,1946,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"650",0,0,NA,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1949,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"651",1,0,0,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1961,2006,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"652",0,0,1,0,0,"My chances of voting are less than 50-50","Not at all","(2) Somewhat interested","(1) Yes",1947,1972,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"653",1,0,1,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(1) Yes",1965,1976,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"654",0,1,NA,0,0,"I am absolutely certain I will vote","Very often","(1) Not at all interested","(1) Yes",1990,NA,"(02) NHPI","(1) Citizen","Yes, Registered","Native Born Citizen"
"655",1,0,NA,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(1) Yes",1957,NA,"(11) asnindian","(1) Citizen","Yes, Registered","Native Born Citizen"
"656",0,0,1,0,0,"My chances of voting are 50-50","Not at all","(2) Somewhat interested","(1) Yes",1953,1979,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"657",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1955,1980,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"658",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(4) Very interested","(2) No",1933,1973,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"659",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1946,1969,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"660",0,0,NA,0,0,"I am absolutely certain I will vote","Not too often","(4) Very interested","(2) No",1933,NA,"(02) NHPI","(1) Citizen","Yes, Registered","Native Born Citizen"
"661",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(3) Interested","(2) No",1932,1955,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"662",0,0,1,0,0,"I am pretty likely to vote","Not at all","(2) Somewhat interested","(2) No",1949,1971,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"663",1,0,0,0,0,"My chances of voting are 50-50","Not too often","(1) Not at all interested","(2) No",1960,1991,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"664",1,0,NA,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1953,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"665",1,0,1,0,0,"My chances of voting are less than 50-50","Not at all","(3) Interested","(2) No",1945,1967,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"666",1,0,0,0,0,"I will not vote this year","Very often","(3) Interested","(2) No",1947,2004,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen"
"667",1,0,1,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(1) Yes",1947,1969,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"668",0,0,0,0,0,"My chances of voting are 50-50","Not too often","(2) Somewhat interested","(1) Yes",1966,1991,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"669",0,0,0,0,0,"I am absolutely certain I will vote","Not at all","(4) Very interested","(2) No",1948,1991,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"670",1,0,NA,0,0,"I am absolutely certain I will vote","Not at all","(4) Very interested","(1) Yes",1926,NA,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"671",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(1) Yes",1948,1970,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"672",0,0,0,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1948,1995,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"673",0,0,1,0,0,"My chances of voting are less than 50-50",NA,"(3) Interested","(2) No",1934,1980,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"674",0,0,1,0,0,"I am absolutely certain I will vote","Very often","(3) Interested","(1) Yes",1946,1966,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"675",0,0,0,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(1) Yes",1968,1986,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"676",0,0,0,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1963,1997,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"677",0,0,0,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1953,1988,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"678",0,0,1,0,0,"I am absolutely certain I will vote","Very often","(3) Interested","(1) Yes",1925,1959,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"679",1,0,NA,0,0,"I am absolutely certain I will vote","Not too often","(4) Very interested","(1) Yes",1934,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"680",0,0,0,0,0,"I am absolutely certain I will vote","Not at all","(4) Very interested","(1) Yes",1939,1996,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"681",0,0,1,0,0,"My chances of voting are 50-50","Not too often","(3) Interested","(1) Yes",1928,1982,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen"
"682",1,0,1,0,0,"I am pretty likely to vote","Not at all","(2) Somewhat interested","(2) No",1936,1966,"(11) asnindian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"683",0,1,NA,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1991,NA,"(02) NHPI","(1) Citizen","Yes, Registered","Native Born Citizen"
"684",0,0,1,0,0,"I am absolutely certain I will vote","Not too often","(4) Very interested","(1) Yes",1936,1971,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"685",0,1,NA,0,0,"My chances of voting are less than 50-50","Somewhat often","(2) Somewhat interested","(1) Yes",1988,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"686",1,0,1,0,0,"I am absolutely certain I will vote","Not too often","(3) Interested","(2) No",1960,1962,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"687",1,0,0,0,0,"I am absolutely certain I will vote","Not at all","(3) Interested","(1) Yes",1948,1990,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"688",0,0,NA,0,0,"My chances of voting are 50-50","Not at all","(2) Somewhat interested","(1) Yes",1980,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"689",1,0,0,0,0,"I am absolutely certain I will vote","Not too often","(3) Interested","(1) Yes",1955,1992,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"690",1,0,NA,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(1) Yes",1951,NA,"(02) NHPI","(1) Citizen","Yes, Registered","Native Born Citizen"
"691",0,0,0,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1955,1987,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"692",0,0,NA,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1950,NA,"(02) NHPI","(1) Citizen","Yes, Registered","Native Born Citizen"
"693",0,0,0,0,NA,NA,"Very often","(1) Not at all interested","(2) No",1958,2010,"(14) filipino","(0) Not a citizen",NA,"Foreign Born Citizen"
"694",0,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(2) Somewhat interested","(1) Yes",1947,1973,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"695",1,0,NA,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1938,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"696",0,0,0,0,NA,NA,"Somewhat often","(2) Somewhat interested","(2) No",1946,2000,"(14) filipino","(0) Not a citizen",NA,"Foreign Born Citizen"
"697",1,1,NA,0,0,"My chances of voting are 50-50","Somewhat often","(2) Somewhat interested","(1) Yes",1986,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"698",1,0,1,0,0,NA,"Not too often","(2) Somewhat interested","(1) Yes",1952,1980,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"699",0,1,NA,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1984,NA,"(02) NHPI","(1) Citizen","Yes, Registered","Native Born Citizen"
"700",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1944,1967,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"701",1,0,0,0,0,"I am pretty likely to vote","Not too often","(3) Interested","(2) No",1945,1998,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"702",1,0,NA,0,0,"I am absolutely certain I will vote","Not at all","(3) Interested","(1) Yes",1947,NA,"(16) japanese","(1) Citizen","Yes, Registered","Native Born Citizen"
"703",1,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(2) Somewhat interested","(1) Yes",1946,1976,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"704",0,0,0,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(1) Yes",1945,2006,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"705",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(3) Interested","(1) Yes",1929,1966,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"706",0,0,NA,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(1) Yes",1936,NA,"(16) japanese","(1) Citizen","Yes, Registered","Native Born Citizen"
"707",0,0,0,0,NA,NA,NA,"(1) Not at all interested","(2) No",1935,1995,"(14) filipino","(0) Not a citizen",NA,"Foreign Born Citizen"
"708",0,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(1) Yes",1949,1972,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"709",0,0,0,0,0,"I am absolutely certain I will vote","Not at all","(4) Very interested","(2) No",1939,1987,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"710",1,0,NA,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(2) No",1924,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"711",1,0,0,0,NA,NA,"Not too often","(3) Interested","(2) No",1961,2013,"(14) filipino","(0) Not a citizen",NA,"Foreign Born Citizen"
"712",0,0,0,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1950,2005,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen"
"713",1,0,NA,0,0,"I am absolutely certain I will vote","Not too often","(1) Not at all interested","(1) Yes",1938,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"714",0,0,NA,0,0,"I will not vote this year","Somewhat often","(3) Interested","(2) No",1946,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"715",0,0,0,0,0,"I am pretty likely to vote","Not at all","(3) Interested","(1) Yes",1955,1991,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"716",1,0,1,0,0,"I am absolutely certain I will vote","Not too often","(4) Very interested","(2) No",1953,1977,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"717",0,0,0,0,0,"I will not vote this year","Not at all","(3) Interested","(1) Yes",1937,1986,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen"
"718",0,0,NA,0,0,"I am absolutely certain I will vote","Somewhat often","(3) Interested","(2) No",1958,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"719",0,0,1,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(1) Yes",1938,1970,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"720",0,0,1,0,NA,NA,NA,"(4) Very interested","(1) Yes",1949,1970,"(14) filipino","(0) Not a citizen",NA,"Foreign Born Citizen"
"721",0,0,1,0,0,"I am absolutely certain I will vote","Not too often","(1) Not at all interested","(2) No",1953,1981,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"722",0,0,1,0,0,"I am absolutely certain I will vote","Not too often","(4) Very interested","(2) No",1960,1982,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"723",0,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(3) Interested","(2) No",1939,1974,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"724",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(3) Interested","(1) Yes",1932,1960,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"725",1,0,0,0,0,"I am absolutely certain I will vote","Not at all","(4) Very interested","(2) No",1964,2000,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"726",1,0,0,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(1) Yes",1952,2001,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"727",0,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(1) Yes",1948,1973,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"728",0,0,1,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(2) No",1958,1957,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"729",0,0,1,0,0,"I am absolutely certain I will vote","Very often","(3) Interested","(1) Yes",1937,1966,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"730",0,0,0,0,0,"I am absolutely certain I will vote","Not too often","(4) Very interested","(1) Yes",1960,1998,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"731",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(4) Very interested","(1) Yes",1962,1967,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"732",0,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(2) No",1956,1980,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"733",0,0,0,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(2) No",1940,1987,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"734",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(4) Very interested","(1) Yes",1941,1972,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"735",1,0,0,0,0,"I am absolutely certain I will vote","Not at all","(4) Very interested","(1) Yes",1941,1990,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"736",0,0,0,0,0,"My chances of voting are 50-50","Not too often","(2) Somewhat interested","(2) No",1941,1997,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"737",0,0,NA,0,0,"I am pretty likely to vote","Not too often","(2) Somewhat interested","(1) Yes",1977,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"738",1,0,1,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1949,1977,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"739",0,1,NA,0,0,"I will not vote this year","Somewhat often","(1) Not at all interested","(2) No",1963,NA,"(14) filipino","(1) Citizen","Not Registered","Native Born Citizen"
"740",0,0,NA,0,0,"I am absolutely certain I will vote","Somewhat often","(2) Somewhat interested","(1) Yes",1937,NA,"(14) filipino","(1) Citizen","Yes, Registered","Native Born Citizen"
"741",1,0,1,0,NA,NA,"Not too often","(4) Very interested","(2) No",1958,1978,"(14) filipino","(0) Not a citizen",NA,"Foreign Born Citizen"
"742",0,0,1,0,0,"I am absolutely certain I will vote","Not too often","(3) Interested","(1) Yes",1954,1969,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"743",1,0,NA,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(2) No",1938,NA,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"744",1,0,0,0,0,"My chances of voting are 50-50","Somewhat often","(1) Not at all interested","(2) No",1937,1987,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"745",0,0,0,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1950,1997,"(14) filipino","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"746",1,0,0,0,0,"I will not vote this year","Not too often","(2) Somewhat interested","(1) Yes",1973,1992,"(14) filipino","(1) Citizen","Not Registered","Foreign Born Citizen"
